role_k1000_v3,role_k1000_v3_num,x_2d,y_2d
Salesforce Administrator,527,3.1039345,6.3343825
ServiceNow Developer,528,3.203484,6.528591
Systems Analyst,529,3.5366564,5.311778
Training and Curriculum Analyst,530,7.9747634,1.0230275
Administrative Assistant,531,5.8225956,2.2847664
Bilingual Administrative Coordinator,532,6.4641705,2.5568597
Court Clerk,533,4.4930696,1.8369052
Education Administrator,534,8.008739,1.5920529
Election Support,535,5.212001,2.0000143
Executive Assistant,536,5.921517,2.3132672
HR Administrative Assistant,537,5.936656,2.040772
Program Coordinator,538,7.191422,2.715219
Records Clerk,539,4.576361,1.7349696
Research Coordinator,540,2.4204423,5.630222
Climate Analyst,541,5.9039893,8.056271
Community Coordinator,542,7.3401556,2.7063532
Community Organizer,543,7.481174,2.7015672
Community Program Coordinator,544,7.345056,2.726638
Development Director,545,5.300137,3.3593907
Development Officer,546,5.1254783,3.1008883
Environmental Coordinator,547,6.5032806,7.998995
Finance Volunteer,548,7.2633,2.834617
Food Program Coordinator,549,8.219495,4.3498163
Grant Administrator,550,5.123641,2.9161978
International Policy Advisor,551,4.811956,3.7222595
Nonprofit Volunteer,552,7.47422,2.781213
Policy Evaluator,553,3.7125616,3.1820838
Public Policy Advocate,554,4.8018527,3.706937
Public Relations Officer,555,4.8006244,3.813803
Stakeholder Engagement,556,4.873792,3.8498418
Immigration Consultant,557,6.094385,3.0126758
Civil Rights Investigator,558,3.3949864,2.3782434
Correctional Officer,559,5.7660503,9.493399
Emergency Dispatcher,560,5.6339273,8.739287
Emergency Management,561,5.55366,9.2602005
Law Enforcement Officer,562,5.6941957,9.387588
Legal Counsel,563,3.3659694,2.0437365
Military Operations Officer,564,6.884398,8.933246
Public Safety Officer,565,5.659082,9.399452
Records Examiner,566,4.413325,1.7609586
Security Instructor,567,8.322151,1.061278
Wildlife Conservation Officer,568,5.8742137,8.973935
Academic Researcher,569,2.3477137,5.810666
Creative Arts Educator,570,7.9954147,1.4122488
Data Science Educator,571,8.038335,1.327073
Language Instructor,572,8.221245,1.4591818
Language Translator,573,6.4662337,2.6968136
Legal Analyst,574,3.4067097,2.7927017
Library Assistant,575,5.1449966,1.6770649
Media Writer,576,5.26096,5.132202
Multimedia Designer,577,5.3013835,5.8718405
Museum Curator,578,5.2584953,1.6530807
Research Analyst,579,3.1153882,5.012052
Research Intern,580,2.2834003,5.8427954
Social Science Educator,581,8.141087,1.4963772
Survey Researcher,582,2.3579748,5.84741
University Faculty,583,7.928541,1.5853229
Writer,584,5.154755,5.0101914
Admissions Officer,585,6.468738,2.0593925
Art Instructor,586,8.004817,1.3984092
Arts Educator,587,8.032176,1.4890637
Behavior Analyst,588,8.418043,2.39972
Campus Engagement Coordinator,589,7.3152285,2.6264198
Campus Student Support,590,7.541677,1.8943046
Career Coach,591,7.681043,1.422022
Childcare Provider,592,8.257007,1.853866
Classroom Teacher,593,8.192997,1.5782567
Community Volunteer,594,7.4931507,2.7957602
Culinary Instructor,595,8.340008,4.667578
Early Childhood Educator,596,8.150356,1.625454
Education Coordinator,597,7.9871917,1.7003965
Educator,598,8.082853,1.7678902
Employment Advisor,599,6.8952155,1.8734075
Enrollment Officer,600,6.236546,2.053252
Family Support Counselor,601,8.0449095,2.4470742
Financial Aid Advisor,602,5.841788,2.47822
Fitness Coach,603,8.599983,2.3512027
Housing Support Coordinator,604,7.357413,2.764774
Internship Coordinator,605,7.0722227,2.6659439
Language Teacher,606,8.227207,1.4793676
Library Educator,607,7.9531684,1.3882273
